2026-07-01T14:58:52.672797202Z [inf]  
2026-07-01T14:58:52.672804966Z [inf]  > @workspace/discord-bot@1.0.0 start
2026-07-01T14:58:52.672809718Z [inf]  > node index.js
2026-07-01T14:58:52.672814020Z [inf]  
2026-07-01T14:58:52.672818801Z [err]  ⚠️ تنبيه! المتغير GOOGLE_CLIENT_ID مفقود - بعض الميزات ما تشتغل
2026-07-01T14:58:52.672823727Z [err]  ⚠️ تنبيه! المتغير GOOGLE_CLIENT_SECRET مفقود - بعض الميزات ما تشتغل
2026-07-01T14:58:52.672827530Z [err]  ⚠️ تنبيه! المتغير GOOGLE_REFRESH_TOKEN مفقود - بعض الميزات ما تشتغل
2026-07-01T14:58:52.672831473Z [err]  ⚠️ تنبيه! المتغير YOUTUBE_API_KEY مفقود - بعض الميزات ما تشتغل
2026-07-01T14:58:52.809148352Z [inf]  Starting Container
2026-07-01T14:58:53.131215975Z [inf]  ✅ [GeminiKeys] 8 مفتاح جاهز (~12000 طلب/يوم)
2026-07-01T14:58:53.131355080Z [inf]  🔒 [Lock] احنا النسخة الشرعية (instanceId=14-mr27axpc-sdbqps)
2026-07-01T14:58:53.131358669Z [inf]  📥 [Music] جاري تنزيل yt-dlp...
2026-07-01T14:58:53.142923753Z [inf]  ℹ️ [٢:٥٨:٥٣ م] 🤖 Gemini AI جاهز!
2026-07-01T14:58:53.142927703Z [inf]  🔄 [Keep-Alive] شغّال — ping كل 2 دقيقة | مراقبة كل دقيقة | /status للإحصائيات
2026-07-01T14:58:53.144255015Z [inf]  ✅ Server is ready and listening on port 8080
2026-07-01T14:58:53.661638592Z [inf]  ✅ [Music] yt-dlp جاهز!
2026-07-01T14:58:53.661641876Z [inf]  ✅ [Music] DisTube جاهز!
2026-07-01T14:58:53.661645405Z [inf]  ✅ [٢:٥٨:٥٣ م] نجح: تسجيل الدخول بـ: زنجي
2026-07-01T14:58:53.667049020Z [inf]  ℹ️ [٢:٥٨:٥٣ م] 🔄 رفع 79 أمر على ديسكورد...
2026-07-01T14:58:53.976675096Z [inf]  ✅ [٢:٥٨:٥٣ م] نجح: تم رفع 79 أمر بنجاح!
2026-07-01T14:58:53.976679719Z [err]  ═══════════════════════════════════════════════════════
2026-07-01T14:58:53.976682483Z [err]  ⚠️  تحذير: الأوامر دي مش موثقة في /احدث-المميزات !
2026-07-01T14:58:53.976685305Z [err]     أضفهم في LATEST_FEATURES داخل commands/games-hub.js
2026-07-01T14:58:53.976688079Z [err]     الأوامر: ملخص-السيرفر, امسح-ذاكرتك
2026-07-01T14:58:53.976690910Z [err]  ═══════════════════════════════════════════════════════
2026-07-01T14:58:54.661521792Z [inf]  ℹ️ [٢:٥٨:٥٤ م] ℹ️ لوحة الاقتراحات الثابتة موجودة بالفعل — لن نرسل نسخة جديدة
2026-07-01T14:58:54.661525418Z [inf]  ℹ️ [٢:٥٨:٥٤ م] ⏰ نظام النسخ الاحتياطية التلقائية اليومية جاهز
2026-07-01T14:58:54.661529784Z [inf]  ℹ️ [٢:٥٨:٥٤ م] 📊 نظام ملخص السيرفر الأسبوعي جاهز
2026-07-01T14:58:54.661533368Z [inf]  ✅ [WeeklyChallenge] جُدوِل — التحدي القادم يوم الجمعة الساعة 1 ظهراً (بعد 44 ساعة و1 دقيقة)
2026-07-01T14:58:54.661536869Z [inf]  ✅ [AnimeNews] نظام أخبار الأنمي جاهز — بيتحقق كل ساعة
2026-07-01T14:58:54.661540310Z [inf]  ℹ️ [٢:٥٨:٥٤ م] 👑 البوت عنده Admin بالفعل في: ✨الفࢪا؏ـنة👑
2026-07-01T15:01:46.509105817Z [inf]  🎵 [Music] مصدر: spotify_collection | طلب: https://open.spotify.com/playlist/6ssb7KsIjnNE6xOrtFNCuT?si=
2026-07-01T15:01:47.405235668Z [err]  ⚠️ [Music] يوتيوب فشل (Ramy Gamal لحظة بعادك): Cannot find any song with this query (ytsearch:Ramy Gamal لحظة بعادك)
2026-07-01T15:01:47.601263026Z [err]  ⚠️ [Music] ساوند كلاود فشل: Cannot find any song with this query (scsearch:Ramy Gamal لحظة بعادك)
2026-07-01T15:01:47.601266852Z [err]  ❌ [Music] handlePlay: مش لاقي "Ramy Gamal لحظة بعادك" — جرّب اسم تاني أو رابط مباشر
